ip,country,port,org,isp,hostnames,timestamp,product,version,vulns
185.190.149.132,Ukraine,21,UKRGEOKON LLC,UKRGEOKON LLC,['132.149.190.185.in-addr.arpa'],2026-03-31 17:58:06.640099,MikroTik router ftpd,6.49.18,
185.67.3.73,Ukraine,2082,HOSTPRO LAB LLC,HOSTPRO LAB LLC,['kvm.bioukraine.com.ua'],2026-03-31 17:58:06.320691,cPanel,,
138.113.142.31,Ukraine,8030,Meteverse Limited.,Meteverse Limited.,[],2026-03-31 17:58:06.137647,nginx,,
46.200.231.60,Ukraine,49153,JSC Ukrtelecom,"JSC ""Ukrtelecom""",['60-231-200-46.pool.ukrtel.net'],2026-03-31 17:58:04.274762,,,
91.200.43.78,Ukraine,53,,PE Konstantin Vladimirovich Kravchenko,['none'],2026-03-30 03:25:17.363238,,,
213.160.144.157,Ukraine,9011,CYBERARENA TV LLC,"""SCIENTIFIC-INDUSTRIAL FIRM ""VOLZ"" LIMITED LIABILITY COMPANY",[],2026-03-31 17:58:03.545968,,,
176.105.195.55,Ukraine,8080,NPK Home-Net Ltd.,NPK Home-Net Ltd.,[],2026-03-31 17:58:00.549545,,,
178.92.51.79,Ukraine,5555,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:58:00.320327,,,
62.182.85.73,Ukraine,993,Virtual Systems LLC,Virtual Systems LLC,"['host-73.dedicated.vsys.host', 'privacygobbler.com']",2026-03-31 17:57:58.490767,,,
109.122.61.4,Ukraine,443,VIRTUAL TELECOM LLC,KIEVLINE LLC,['blanc0mba.link'],2026-03-31 17:57:58.219619,,,
91.243.198.209,Ukraine,2222,TRADITIONAL LLC,TRADITIONAL LLC,['209.198.PPPoE.fregat.ua'],2026-03-31 17:57:58.081868,,,
176.126.60.147,Ukraine,6036,SKORUK ANDRIY OLEKSANDROVYCH,SKORUK ANDRIY OLEKSANDROVYCH,['176.126.60.147.sky-net.com.ua'],2026-03-31 17:57:57.942892,,,
217.77.223.10,Ukraine,161,WildPark Co,WildPark Co,['static-217-77-223-10.wildpark.net'],2026-03-31 17:57:57.694428,,,
195.137.245.99,Ukraine,22,South Park Networks LLC,South Park Networks LLC,[],2026-03-31 17:57:57.568494,OpenSSH,9.9,"CVE-2008-3844, CVE-2025-26466, CVE-2025-26465, CVE-2023-51767, CVE-2007-2768, CVE-2025-32728"
185.174.220.87,Ukraine,443,UH.ua network,"Private company ""Ukrainian hosting""",[],2026-03-31 17:57:55.070549,nginx,1.28.2,
45.134.173.167,Ukraine,443,Virtual Systems LLC,Virtual Systems LLC,['leffler.connectwestchester.com'],2026-03-31 17:57:53.624181,Apache httpd,2.4.52,"CVE-2024-47252, CVE-2024-38475, CVE-2024-24795, CVE-2013-2765, CVE-2025-49630, CVE-2023-38709, CVE-2025-55753, CVE-2025-58098, CVE-2023-45802, CVE-2013-4365, CVE-2022-22720, CVE-2022-28330, CVE-2024-38476, CVE-2024-38477, CVE-2024-38474, CVE-2025-66200, CVE-2024-38472, CVE-2024-38473, CVE-2022-30556, CVE-2006-20001, CVE-2009-0796, CVE-2022-22721, CVE-2022-22719, CVE-2012-3526, CVE-2022-31813, CVE-2012-4001, CVE-2024-42516, CVE-2024-27316, CVE-2012-4360, CVE-2011-1176, CVE-2022-23943, CVE-2025-49812, CVE-2011-2688, CVE-2025-59775, CVE-2025-53020, CVE-2022-36760, CVE-2023-25690, CVE-2024-43394, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2022-37436, CVE-2025-65082, CVE-2024-39573, CVE-2022-26377, CVE-2025-23048, CVE-2022-28614, CVE-2009-2299, CVE-2022-29404, CVE-2024-40898, CVE-2024-43204, CVE-2022-28615, CVE-2023-31122, CVE-2023-27522"
213.160.144.157,Ukraine,122,CYBERARENA TV LLC,"""SCIENTIFIC-INDUSTRIAL FIRM ""VOLZ"" LIMITED LIABILITY COMPANY",[],2026-03-31 17:57:53.080391,,,
77.88.194.89,Ukraine,36071,Ante Mediam LLC,Ante Mediam LLC,[],2026-03-31 17:57:51.140314,,,
91.234.31.124,Ukraine,443,PJSCCB PRAVEX-BANK,PJSCCB PRAVEX-BANK,['pravex.ua'],2026-03-31 17:57:50.884503,,,
178.94.77.90,Ukraine,6001,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:57:50.186112,,,
176.120.61.141,Ukraine,9999,Langate Ltd,Langate Ltd,['ip-176.120.61.141.langate.ua'],2026-03-31 17:57:49.077517,,,
193.169.188.196,Ukraine,995,HOSTPRO LAB LLC,HOSTPRO LAB LLC,['paradise.net.ua'],2026-03-31 17:57:48.560725,,,
31.43.180.4,Ukraine,7547,X-COM LLC,X-COM LLC,['4-76.x-com.net.ua'],2026-03-31 17:57:48.018488,,,
195.189.214.47,Ukraine,7547,"Zahidna Multyservisna Merezha, LLC","Zahidna Multyservisna Merezha, LLC",['host-195.189.214.47.zmm.if.ua'],2026-03-31 17:57:45.920592,,,
31.202.128.58,Ukraine,3389,"Maxnet LLC, Kharkiv","MAXNET TELECOM, LTD",['31-202-128-58-kh.maxnet.ua'],2026-03-31 17:57:45.214983,Remote Desktop Protocol,,
82.118.17.224,Ukraine,104,GREEN FLOID LLC,GREEN FLOID LLC,['ipsec-master-pro-android-vip-ua-20210603.com'],2026-03-31 17:57:45.074123,,,
152.53.40.137,Ukraine,21270,ANX Holding GmbH,ANEXIA Internetdienstleistungs GmbH,[],2026-03-31 17:57:44.932463,,,
45.94.158.164,Ukraine,9999,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,[],2026-03-31 17:57:44.793871,,,
213.111.141.180,Ukraine,22,Melbikomas UAB,,[],2026-03-31 17:57:44.260490,OpenSSH,8.9p1 Ubuntu 3ubuntu0.13,
178.93.30.167,Ukraine,60000,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:57:43.538083,,,
195.66.156.190,Ukraine,91,PP Info-Center,PP Info-Center,['d190-c53.tyachiv.info'],2026-03-31 17:57:43.324318,Hikvision IP Camera,,
185.233.36.50,Ukraine,80,Hosting Ukraine LTD,Hosting Ukraine LTD,['vps-40632.vps-default-host.net'],2026-03-31 17:57:42.351497,nginx,,
80.73.9.235,Ukraine,8080,CONTENT DELIVERY NETWORK LTD,CONTENT DELIVERY NETWORK LTD,['235.9.73.80.triolan.net'],2026-03-31 17:57:40.866716,Microsoft IIS httpd,10.0,
91.244.32.30,Ukraine,5009,McLaut network,"LLC ""McLaut-Invest""",['91-244-32-30.dynamic-pool.mclaut.cc'],2026-03-31 17:57:39.208174,Apple AirPort,,
178.151.21.166,Ukraine,554,CONTENT DELIVERY NETWORK LTD,CONTENT DELIVERY NETWORK LTD,['166.21.151.178.triolan.net'],2026-03-31 17:57:39.128583,,,
31.148.168.97,Ukraine,8080,PE TRK Todor,PE TRK Todor,[],2026-03-31 17:57:38.901670,nginx,1.10.3,"CVE-2023-44487, CVE-2017-7529, CVE-2017-20005, CVE-2019-9516, CVE-2019-9513, CVE-2019-9511, CVE-2018-16843, CVE-2021-23017, CVE-2021-3618, CVE-2019-20372, CVE-2018-16844, CVE-2018-16845"
185.124.10.239,Ukraine,80,Hosting Ukraine LTD,Hosting Ukraine LTD,['web807.default-host.net'],2026-03-31 17:57:38.133878,nginx,,
93.127.115.244,Ukraine,8080,PRIVATE JOINT-STOCK COMPANY FARLEP-INVEST,,['93-127-115-244.static.vega-ua.net'],2026-03-31 17:57:37.395666,,,
213.160.144.157,Ukraine,21379,CYBERARENA TV LLC,"""SCIENTIFIC-INDUSTRIAL FIRM ""VOLZ"" LIMITED LIABILITY COMPANY",[],2026-03-31 17:57:37.226024,,,
31.129.169.4,Ukraine,7547,MAGNUS NG LLC,MAGNUS NG LLC,[],2026-03-31 17:57:36.617951,,,
178.151.21.166,Ukraine,80,CONTENT DELIVERY NETWORK LTD,CONTENT DELIVERY NETWORK LTD,['166.21.151.178.triolan.net'],2026-03-31 17:57:36.220321,Dahua-based DVR,,
5.58.81.221,Ukraine,7547,"MAXNET TELECOM, LTD","MAXNET TELECOM, LTD",['host-5-58-81-221.bitternet.ua'],2026-03-31 17:57:33.341218,,,
31.134.124.53,Ukraine,21,,FOP Demchuk Sergiy Olexandrovuch,[],2026-03-31 18:04:07.395765,MikroTik router ftpd,6.43.8,
212.90.181.252,Ukraine,443,LLC UKRCOM,"LLC ""UKRCOM""",['mail.ucl.com.ua'],2026-03-31 17:57:33.101513,Fortinet FortiGate-60F,,
45.14.110.255,Ukraine,8291,EUROTELE-PLUS LLC,"""EUROTELE-PLUS"" LLC",['static-45-14-110-255.eurotele.com.ua'],2026-03-31 17:57:32.022510,MikroTik Winbox,,"CVE-2020-20262, CVE-2020-20217, CVE-2020-20266, CVE-2020-20267, CVE-2020-20264, CVE-2020-20265, CVE-2021-36613, CVE-2020-20225, CVE-2021-36614, CVE-2020-20220, CVE-2019-15055, CVE-2022-45315, CVE-2021-3014, CVE-2025-6443, CVE-2022-45313, CVE-2019-16160, CVE-2019-3977, CVE-2023-30800, CVE-2019-3978, CVE-2019-3979, CVE-2020-20021, CVE-2020-20253, CVE-2020-20252, CVE-2020-20250, CVE-2022-36522, CVE-2020-20254, CVE-2023-32154, CVE-2024-54772, CVE-2020-20231, CVE-2020-20230, CVE-2018-5951, CVE-2019-3976, CVE-2023-30799, CVE-2020-11881, CVE-2020-20249, CVE-2020-20247"
91.235.142.186,Ukraine,888,OWL PROTECT LLC,Virtual Systems LLC,['dedicated.host'],2026-03-31 17:57:30.973518,nginx,,
91.203.60.206,Ukraine,22,Ukrchermetavtomatika LLC,Ukrchermetavtomatika LLC,['mail1.praktik-ua.com.ua'],2026-03-31 17:57:30.334355,OpenSSH,7.6p1 Ubuntu 4ubuntu0.6,
5.58.13.228,Ukraine,8080,"MAXNET TELECOM, LTD","MAXNET TELECOM, LTD",['host-5-58-13-228.bitternet.ua'],2026-03-31 17:57:30.071354,Hikvision IP Camera,,
91.231.182.116,Ukraine,22,South Park Networks LLC,South Park Networks LLC,[],2026-03-31 17:57:29.557914,OpenSSH,9.6p1 Ubuntu 3ubuntu13.15,
213.108.73.242,Ukraine,5001,SilverTelecom Ltd.,SilverTelecom Ltd.,['mail.fancy-toys.com.ua'],2026-03-31 17:57:28.957458,nginx,,
91.245.75.157,Ukraine,4444,PC Astra-net,"PC ""Astra-net""",[],2026-03-31 17:57:28.934250,MikroTik RouterOS sshd,,
77.123.155.240,Ukraine,5201,Volia DataCentre,Volia-Cable LLC,['240.155.123.77.colo.static.dcvolia.com'],2026-03-31 17:57:28.886346,JD-GUI Java decompiler,0.3.3,
80.68.147.34,Ukraine,12208,LLC ATOM3,"LLC ""ATOM3""",[],2026-03-31 17:57:28.459056,,,
5.58.134.116,Ukraine,1723,"MAXNET TELECOM, LTD","MAXNET TELECOM, LTD",['host-5-58-134-116.bitternet.ua'],2026-03-31 17:57:28.453921,PPTP,,
193.106.136.238,Ukraine,53,Industrial Media Network LLC,Industrial Media Network LLC,[],2026-03-31 17:57:27.115295,,,
185.65.247.96,Ukraine,25,Hosting Ukraine VPS network,Hosting Ukraine LTD,['vps-48109.vps-default-host.net'],2026-03-31 17:57:26.996131,Exim smtpd,4.95,"CVE-2022-3620, CVE-2024-39929, CVE-2023-42114, CVE-2023-51766, CVE-2023-42117, CVE-2023-42116, CVE-2023-42115, CVE-2025-67896, CVE-2023-42119, CVE-2022-37451, CVE-2022-3559"
185.66.89.82,Ukraine,2082,Virtual Systems LLC,Virtual Systems LLC,['dedicated.vsys.host'],2026-03-31 17:57:25.691935,,,
31.202.60.159,Ukraine,442,"Maxnet LLC, Kharkiv","MAXNET TELECOM, LTD",['31-202-60-159-kh.maxnet.ua'],2026-03-31 17:57:25.022859,,,
95.134.112.26,Ukraine,8080,JSC Ukrtelecom,,[],2026-03-31 17:57:24.462135,,,
5.58.197.4,Ukraine,8291,"MAXNET TELECOM, LTD","MAXNET TELECOM, LTD",['host-5-58-197-4.bitternet.ua'],2026-03-31 17:57:22.927687,MikroTik Winbox,,
136.0.65.127,Ukraine,443,STARK INDUSTRIES SOLUTIONS LTD,Ivanov Vitaliy Sergeevich,[],2026-03-31 17:57:21.427082,,,
194.44.177.89,Ukraine,5001,UA ZZ 940217,"State Enterprise Scientific and Telecommunication Centre ""Ukrainian Academic and Research Network"" of the Institute for Condensed Matter Physics of the National Academy of Science of Ukraine (UARNet)","['mail.gui.lviv.ua', 'rveurobud.synology.me']",2026-03-31 17:57:20.803097,,,
81.162.246.173,Ukraine,4506,PP TRCCity TV center,"PP ""TRC""City TV center""",[],2026-03-31 17:57:20.457747,Gene6 ftpd,3.10.0 build 2,
178.94.123.36,Ukraine,9100,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:57:19.754949,Prometheus Node Exporter,1.8.1,
213.160.144.131,Ukraine,53,"TERRA FOOD Company, Ukraine","""SCIENTIFIC-INDUSTRIAL FIRM ""VOLZ"" LIMITED LIABILITY COMPANY",['ns.terrafood.com.ua'],2026-03-31 17:57:18.844356,,,
64.240.77.4,Ukraine,444,Freedom Services,Maximum-Net LLC,[],2026-03-31 17:57:18.011353,,,
92.244.105.67,Ukraine,2121,ISP Kievnet,Kyiv Optic Networks ltd,['92-244-105-67.kievnet.com.ua'],2026-03-31 17:57:17.826692,Pure-FTPd,,
178.94.155.63,Ukraine,5555,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:57:17.186978,,,
31.131.29.147,Ukraine,53,PE Skurykhin Mukola Volodumurovuch,PE Skurykhin Mukola Volodumurovuch,['147.29.131.31.uahost05.twinservers.net'],2026-03-31 17:57:16.772009,,,
193.193.210.233,Ukraine,80,Bird project,Lucky Net Ltd,['shared41.mailabot.com'],2026-03-31 17:57:15.546392,Apache httpd,2.4.52,"CVE-2024-47252, CVE-2024-38475, CVE-2024-24795, CVE-2013-2765, CVE-2025-49630, CVE-2023-38709, CVE-2025-55753, CVE-2025-58098, CVE-2023-45802, CVE-2013-4365, CVE-2022-22720, CVE-2022-28330, CVE-2024-38476, CVE-2024-38477, CVE-2024-38474, CVE-2025-66200, CVE-2024-38472, CVE-2024-38473, CVE-2022-30556, CVE-2006-20001, CVE-2009-0796, CVE-2022-22721, CVE-2022-22719, CVE-2012-3526, CVE-2022-31813, CVE-2012-4001, CVE-2024-42516, CVE-2024-27316, CVE-2012-4360, CVE-2011-1176, CVE-2022-23943, CVE-2025-49812, CVE-2011-2688, CVE-2025-59775, CVE-2025-53020, CVE-2022-36760, CVE-2023-25690, CVE-2024-43394, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2022-37436, CVE-2025-65082, CVE-2024-39573, CVE-2022-26377, CVE-2025-23048, CVE-2022-28614, CVE-2009-2299, CVE-2022-29404, CVE-2024-40898, CVE-2024-43204, CVE-2022-28615, CVE-2023-31122, CVE-2023-27522"
178.95.159.148,Ukraine,10045,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:57:15.495942,,,
176.122.0.84,Ukraine,8291,,SDS-Vostok Ltd.,[],2026-03-31 17:57:15.456106,MikroTik Winbox,,
80.255.73.116,Ukraine,53,PrJSC VF UKRAINE,PrJSC VF UKRAINE,[],2026-03-31 17:57:13.116414,,,
213.160.144.157,Ukraine,4999,CYBERARENA TV LLC,"""SCIENTIFIC-INDUSTRIAL FIRM ""VOLZ"" LIMITED LIABILITY COMPANY",[],2026-03-31 17:57:13.116549,,,
194.247.13.40,Ukraine,443,DELTA-X LTD,Hosting Ukraine LTD,"['www.api.evland.tech', 'api.evland.tech', 'web436.default-host.net']",2026-03-31 17:57:12.949357,nginx,1.18.0,"CVE-2023-44487, CVE-2021-3618, CVE-2021-23017, CVE-2025-23419"
193.178.51.75,Ukraine,30007,TENET Scientific Production Enterprise LLC,TENET Scientific Production Enterprise LLC,['193-178-51-75.broadband.tenet.odessa.ua'],2026-03-31 17:57:12.203560,,,
91.199.93.112,Ukraine,8315,I.T.T. Tehnologiya LLC,I.T.T. Tehnologiya LLC,[],2026-03-31 17:57:11.671502,,,
193.106.57.64,Ukraine,1701,,"FOP ""Makurin Stanislav Volodimirovich""",[],2026-03-31 17:57:11.336339,,,
95.67.70.46,Ukraine,25,Cosmonova LLC,Cosmonova LLC,['mail.km-management.com.ua'],2026-03-31 17:57:10.414226,Cisco PIX sanitized smtpd,,
109.122.17.188,Ukraine,8291,TOV TRK Briz,BREEZE NETWORK,[],2026-03-31 17:57:10.098356,MikroTik Winbox,,
178.92.151.133,Ukraine,8080,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:57:09.101177,,,
80.243.148.170,Ukraine,443,Lanet Network Ltd,Lanet Network Ltd,['host-80-243-148-170.la.net.ua'],2026-03-31 17:57:08.553851,Hikvision IP Camera,,
176.37.231.136,Ukraine,1701,Lanet Network Ltd,Lanet Network Ltd,['host-176-37-231-136.b025.la.net.ua'],2026-03-31 17:57:08.442030,,,
91.238.103.186,Ukraine,8090,Scalaxy B.V.,Gutkin Vladyslav,['2.103.238.91.onevdc.net'],2026-03-31 17:57:08.214452,nginx,1.18.0,"CVE-2023-44487, CVE-2021-3618, CVE-2021-23017, CVE-2025-23419"
94.179.119.83,Ukraine,53,JSC Ukrtelecom,"JSC ""Ukrtelecom""",['83-119-179-94.pool.ukrtel.net'],2026-03-31 17:57:08.190206,,,
194.26.165.24,Ukraine,1723,Corbina Telecom Llc.,Corbina Telecom Llc.,['194-26-165-24.cl.corbina.com.ua'],2026-03-31 17:57:08.121795,PPTP,,
194.247.60.140,Ukraine,25,FOP Samosenok Alexandr Sergeevich,Overseas Technologies LLC,['asqqeqpi.my-addr.com'],2026-03-31 17:57:07.022908,,,
94.231.180.98,Ukraine,53,Galichina Telekommunication LTD,"""Galichina Telekommunication"" LTD",[],2026-03-20 04:53:53.645663,,,
95.67.120.180,Ukraine,465,Cosmonova LLC,Cosmonova LLC,['aristokratu3.cosmonova.net.ua'],2026-03-31 17:57:06.577135,Kerio Connect smtpd,8.3.1,
45.94.158.164,Ukraine,7434,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,[],2026-03-31 17:57:06.264828,,,
77.83.206.240,Ukraine,443,Stimul LLC,,"['xannaofficial.uz', 'www.xannaofficial.uz']",2026-03-31 17:57:06.147562,nginx,1.24.0,"CVE-2023-44487, CVE-2025-23419"
45.83.0.201,Ukraine,443,COOLNET LLC,COOLNET LLC,['ejnphome.pp.ua'],2026-03-31 17:57:05.552297,nginx,1.24.0,"CVE-2023-44487, CVE-2025-23419"
85.159.4.55,Ukraine,8080,PRIVATE JOINT STOCK COMPANY DATAGROUP,Datagroup Retail,['85-159-4-55-static.retail.datagroup.ua'],2026-03-31 17:57:05.301797,gSOAP soap,2.8,
91.198.31.12,Ukraine,443,Centr Servisnogo Oblslugovuvannya Ltd,Centr Servisnogo Oblslugovuvannya Ltd,"['my.cso.com.ua', 'cso.com.ua']",2026-03-31 17:57:04.607520,Apache httpd,,
64.240.77.33,Ukraine,8080,Freedom Services,Maximum-Net LLC,[],2026-03-31 17:57:04.358086,,,
95.134.112.130,Ukraine,8080,JSC Ukrtelecom,,[],2026-03-31 17:57:04.335293,,,
82.207.17.182,Ukraine,465,JSC Ukrtelecom,"JSC ""Ukrtelecom""","['mail.vodokanal.kharkov.ua', 'vodokanal.kharkov.ua']",2026-03-31 17:57:04.310945,,,
178.92.148.216,Ukraine,6668,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:57:04.268574,,,
91.214.211.3,Ukraine,2000,LLC DOMNET,"LLC ""DOMNET""",[],2026-03-31 17:57:03.909635,MikroTik bandwidth-test server,,
212.111.216.78,Ukraine,22,User Association of Ukrainian Research and Academic Network URAN,User Association of Ukrainian Research and Academic Network URAN,[],2026-03-31 17:57:02.911714,OpenSSH,8.9p1 Ubuntu 3ubuntu0.14\r\n,
45.94.158.164,Ukraine,16093,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,[],2026-03-31 17:57:02.702061,,,
194.28.86.12,Ukraine,465,HOSTPRO LAB LLC,HOSTPRO LAB LLC,['rocket-cms5.hostsila.org'],2026-03-31 17:57:02.474540,Exim smtpd,4.99.1,
37.53.72.48,Ukraine,123,JSC Ukrtelecom,"JSC ""Ukrtelecom""",['48-72-53-37.ip.ukrtel.net'],2026-03-31 17:57:02.311490,ntpd,4,
176.241.109.91,Ukraine,53,PRIVATE JOINT STOCK COMPANY DATAGROUP,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",['176.241.109.91.ipv4.datagroup.ua'],2026-03-31 17:57:01.987867,,,
62.182.82.235,Ukraine,53,Virtual Systems LLC,Virtual Systems LLC,['host235.v-sys.org'],2026-03-31 17:57:00.081626,,,
91.220.104.251,Ukraine,465,Viknaland LLC,PremierPlus,[],2026-03-31 17:56:59.857844,Microsoft Exchange smtpd,,
178.94.147.48,Ukraine,10000,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:59.383485,,,
178.95.73.40,Ukraine,3000,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:59.180522,Grafana (Open Source),12.2.0,"CVE-2026-21722, CVE-2025-41115, CVE-2026-21720, CVE-2025-41117"
178.95.180.240,Ukraine,5432,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:58.085880,,,
46.160.90.22,Ukraine,8080,"Maxnet LLC, Kharkiv","MAXNET TELECOM, LTD",['46-160-90-22-kh.maxnet.ua'],2026-03-31 17:56:56.886574,,,
178.92.186.173,Ukraine,8086,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:56.451681,InfluxDB,1.6.4,
194.54.162.115,Ukraine,1723,Lekol LLC,Lekol LLC,[],2026-03-31 17:56:53.860104,PPTP,,
178.93.42.28,Ukraine,8880,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:52.774438,,,
213.111.167.42,Ukraine,80,PP SKS-LUGAN,,[],2026-03-31 17:56:52.637279,,,
178.95.147.152,Ukraine,8080,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:52.383304,,,
178.93.180.77,Ukraine,8080,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:51.605561,,,
79.143.40.102,Ukraine,554,Telecommunication Company Vinteleport Ltd.,Telecommunication Company Vinteleport Ltd.,['79.143.40.102.vntp.net'],2026-03-31 17:56:51.417231,,,
185.25.117.214,Ukraine,25,Hosting Ukraine LTD,Hosting Ukraine LTD,['vps-46880.vps-default-host.net'],2026-03-31 17:56:50.365164,Postfix smtpd,,
176.36.226.79,Ukraine,7547,Lanet Network Ltd,Lanet Network Ltd,['host-176-36-226-79.b024.la.net.ua'],2026-03-31 17:56:48.457909,,,
178.92.237.99,Ukraine,6050,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:47.736033,,,
176.119.25.100,Ukraine,22,Virtual Systems LLC,Virtual Systems LLC,['joy.merrimacportumc.org'],2026-03-31 17:56:46.875134,OpenSSH,9.6p1 Ubuntu 3ubuntu13.15,
195.158.222.25,Ukraine,53,Torgovyi dom Mashinostroitelnye zavody LLC,Telematika LLC,[],2026-03-31 17:56:46.755306,,,
91.199.45.41,Ukraine,8888,Hyperhost LTD,GREEN FLOID LLC,[],2026-03-31 17:56:45.219267,nginx,,
176.111.58.195,Ukraine,33389,United Networks of Ukraine Ltd,United Networks of Ukraine Ltd,['mail.tifoha.net'],2026-03-31 17:56:43.413270,,,
217.66.97.1,Ukraine,53,X-BYTE Network,Digital Optical Communications LTD,['xbyte.net.ua'],2026-03-31 17:56:42.484161,,,
176.111.63.7,Ukraine,465,United Networks of Ukraine Ltd,United Networks of Ukraine Ltd,['server4.miracle.com.ua'],2026-03-31 17:56:41.954997,Postfix smtpd,,
91.234.35.201,Ukraine,5985,TheHost LLC,TheHost LLC,['sdtm.com.ua'],2026-03-31 17:56:41.753890,WinRM,,
185.66.88.132,Ukraine,53,Virtual Systems LLC,Virtual Systems LLC,['dedicated.vsys.host'],2026-03-31 17:56:41.582485,,,
185.66.90.24,Ukraine,53,Virtual Systems LLC,Virtual Systems LLC,['dedicated.vsys.host'],2026-03-31 17:56:41.118293,,,
95.85.72.81,Ukraine,2379,G-Core Labs Customer assignment,G-Core Labs S.A.,[],2026-03-31 17:56:40.353549,SonicWALL firewall http config,,
84.234.109.88,Ukraine,8080,CityLan LLC,CityLan LLC,[],2026-03-31 17:56:38.927126,,,
185.19.7.79,Ukraine,1900,CONTENT DELIVERY NETWORK LTD,CONTENT DELIVERY NETWORK LTD,['79.7.19.185.triolan.net'],2026-03-31 17:56:38.626168,,,
178.92.131.231,Ukraine,6666,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:38.421359,,,
91.217.67.168,Ukraine,554,NEOCOM Ltd.,NEOCOM Ltd.,[],2026-03-31 17:56:37.766932,,,
91.225.120.181,Ukraine,465,X-COM LLC,X-COM LLC,['181-76.x-com.net.ua'],2026-03-31 17:56:37.716633,Exim smtpd,4.95,"CVE-2022-3620, CVE-2024-39929, CVE-2023-42114, CVE-2023-51766, CVE-2023-42117, CVE-2023-42116, CVE-2023-42115, CVE-2025-67896, CVE-2023-42119, CVE-2022-37451, CVE-2022-3559"
91.211.117.76,Ukraine,10250,PE Zharkov Mukola Mukolayovuch,PE Zharkov Mukola Mukolayovuch,['xcs.com'],2026-03-31 17:56:36.951152,Kubernetes,,
176.126.130.41,Ukraine,7547,Cyberlan Ltd.,Cyberlan Ltd.,[],2026-03-31 17:56:36.917990,,,
93.183.214.26,Ukraine,161,ISP Podilya Telephone Company Mitel,Datagroup Retail,['93-183-214-26.retail.datagroup.ua'],2026-03-31 17:56:36.707991,ciscoSystems,,
5.58.55.9,Ukraine,7547,"MAXNET TELECOM, LTD","MAXNET TELECOM, LTD",['host-5-58-55-9.bitternet.ua'],2026-03-31 17:56:34.744618,,,
195.78.245.44,Ukraine,80,Southern Telecommunication Company Ltd.,Southern Telecommunication Company Ltd.,['host-195-78-245-44.sohonet.ua'],2026-03-31 17:56:33.785941,,,
62.244.45.6,Ukraine,9080,Lucky Net Ltd,Lucky Net Ltd,[],2026-03-31 17:56:33.330244,,,
178.151.73.107,Ukraine,22,CONTENT DELIVERY NETWORK LTD,CONTENT DELIVERY NETWORK LTD,['107.73.151.178.triolan.net'],2026-03-31 17:56:32.434990,OpenSSH,6.1,"CVE-2016-20012, CVE-2017-15906, CVE-2015-6563, CVE-2015-5352, CVE-2015-6564, CVE-2016-0777, CVE-2015-5600, CVE-2007-2768, CVE-2016-0778, CVE-2014-2532, CVE-2014-1692, CVE-2014-2653, CVE-2020-14145, CVE-2016-10011, CVE-2019-6111, CVE-2019-6110, CVE-2016-3115, CVE-2016-10009, CVE-2018-20685, CVE-2010-5107, CVE-2018-15473, CVE-2020-15778, CVE-2016-10708, CVE-2016-1908, CVE-2008-3844, CVE-2023-51385, CVE-2018-15919, CVE-2021-36368, CVE-2023-51767, CVE-2023-48795, CVE-2023-38408, CVE-2016-10010, CVE-2016-10012, CVE-2019-6109"
178.209.81.31,Ukraine,8080,Cifrovye Dispetcherskie Sistemy LLC,"LLC ""OTT UKRAINE""",['178-209-81-31.mytrinity.com.ua'],2026-03-31 17:56:30.617260,,,
185.166.217.129,Ukraine,445,TheHost LLC,TheHost LLC,['togorik.ua'],2026-03-31 17:56:30.271332,,,
178.95.111.43,Ukraine,2332,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:30.067694,,,
178.92.171.20,Ukraine,8080,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 17:56:29.429513,,,
